2024-10-04 15:46:27 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1048 Column 'municipio_id' cannot be null
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6114' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6025' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6076' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6173' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6050' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6130' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6157' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6033' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6122' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6084' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6092' for key 'resultado_municipios.PRIMARY'
2024-10-04 16:00:22 - Usuário logado:  - SQLSTATE[23000]: Integrity constraint violation: 1062 Duplicate entry '6068' for key 'resultado_municipios.PRIMARY'
